section,task,policy,metric,value,unit,note
MC_LAST_LAYER,transport,ft,state-aware.episode_cluster_bootstrap_ci_high,4.2811266027390955,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,transport,ft,oracle.mse,0.008327644000618249,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.mse_ratio_to_uniform,0.7097673257639702,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.gradient_bias_norm,0.006684414513233,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.mse_se,4.136097361922129e-05,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.gradient_second_moment,0.013996198615495423,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.ess_mean,248.15689752935177,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.weight_min,0.2883615280740073,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.weight_max,4.045966904283963,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,ft,oracle.episode_cluster_bootstrap_ci_low,3.0368465948849916,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,transport,ft,oracle.episode_cluster_bootstrap_ci_high,4.299289224669337,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
THETA,transport,ft,theta_old.ratio_mean,1.0,ratio,offline diagnostic update
THETA,transport,ft,theta_old.clip_active_fraction,0.0,fraction,offline diagnostic update
THETA,transport,ft,after_1_diagnostic_update.ratio_mean,0.9964677691459656,ratio,offline diagnostic update
THETA,transport,ft,after_1_diagnostic_update.clip_active_fraction,0.7281250357627869,fraction,offline diagnostic update
THETA,transport,ft,after_3_diagnostic_update.ratio_mean,0.991284966468811,ratio,offline diagnostic update
THETA,transport,ft,after_3_diagnostic_update.clip_active_fraction,0.940625011920929,fraction,offline diagnostic update
COST,square,ft,rollout_model_sampling,28.562097333368303,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
