task,checkpoint,split,episode,boundary,direction,target_budget,actual_budget,metric_name,noise_block,sample_count,value
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,fixed_tape_action_l2,paired,64,2.6901965611614287e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,reference_mmd2_unbiased,A,64,-0.0010012672061011905
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,reference_mmd2_unbiased,B,64,0.0005898854089161706
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,reference_energy_distance,A,64,-0.0005413237072172672
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,reference_energy_distance,B,64,0.0003015777421375987
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,ratio_mean,frozen_chain,10,0.9932495355606079
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,ratio_out_of_clip,frozen_chain,10,0.4
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,ppo_blocked_fraction,frozen_chain,10,0.4
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,gaussian_kl_sum,none,1,0.0036519765853881836
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,gaussian_kl_mean,none,1,1.3042773389315698e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,gaussian_kl_max_step,none,1,1.30427742988104e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,gaussian_kl_exec_normalized,none,1,1.3042773389315698e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,direct_mu_l2_normalized,none,1,0.001443569315597415
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,fixed_tape_action_l2,paired,64,9.162595233647153e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,1.3042773389315698e-05,reference_mmd2_unbiased,A,64,0.0017906067863343255
