[2026-09-11 11:27:48,600][root][INFO] - Loaded SL-trained policy from /mnt/d/Desktop/my_project/paper_reproduction/DPPO/checkpoints/official/hopper_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt
[2026-09-11 11:27:48,601][root][INFO] - Number of network parameters: 553020
[2026-09-11 11:27:48,823][root][INFO] - Cloned model for fine-tuning
[2026-09-11 11:27:48,824][root][INFO] - Turned off gradients of the pretrained network
[2026-09-11 11:27:48,825][root][INFO] - Number of finetuned parameters: 553020
[2026-09-11 11:28:02,680][agent.finetune.train_agent][INFO] - Saved model to /mnt/d/Desktop/my_project/paper_reproduction/DPPO/logs/gym-finetune/hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10/2026-09-11_11-27-25_42/checkpoint/state_0.pt
[2026-09-11 11:28:02,681][agent.finetune.train_ppo_diffusion_agent][INFO] - [PERF] itr=0 rollout_s=13.807105 prep_s=0.000000 update_s=0.000000 total_s=13.832905
[2026-09-11 11:28:32,016][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.1090016717789695e-06, update_epoch: 2, num_batch: 4
[2026-09-11 11:28:32,081][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.49455011828104e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:32,145][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.744089998595882e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:32,212][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.85241172707174e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:32,277][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.999487024790142e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:32,343][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.093579708656762e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:32,408][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.678077392687555e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:32,475][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.040072654897813e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:32,541][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.385466000821907e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:32,555][agent.finetune.train_ppo_diffusion_agent][INFO] - [PERF] itr=2 rollout_s=13.056698 prep_s=0.179473 update_s=1.313438 total_s=14.550552
