[2026-09-15 02:53:35,135][root][INFO] - Loaded SL-trained policy from /mnt/d/desktop/my_project/paper_reproduction/dppo/checkpoints/official/halfcheetah_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt
[2026-09-15 02:53:35,135][root][INFO] - Number of network parameters: 568392
[2026-09-15 02:53:35,324][root][INFO] - Cloned model for fine-tuning
[2026-09-15 02:53:35,325][root][INFO] - Turned off gradients of the pretrained network
[2026-09-15 02:53:35,325][root][INFO] - Number of finetuned parameters: 568392
[2026-09-15 02:53:48,209][agent.finetune.train_agent][INFO] - Saved model to /mnt/d/desktop/my_project/paper_reproduction/dppo/logs/gym-finetune/halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10/2026-09-15_02-53-10_42/checkpoint/state_0.pt
[2026-09-15 02:53:48,210][agent.finetune.train_ppo_diffusion_agent][INFO] - eval: success rate   1.0000 | avg episode reward 4170.4410 | avg best reward   6.4763
[2026-09-15 02:54:19,567][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.090502317121718e-06, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:19,622][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.923973266268149e-06, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:19,680][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.025676101562567e-05, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:19,737][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.052762490871828e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:19,793][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.0848870260815602e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:19,850][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.0965902220050339e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:19,908][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.1140198694192804e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:19,919][agent.finetune.train_ppo_diffusion_agent][INFO] - 2: step   160000 | loss   0.0126 | pg loss  -0.0005 | value loss   0.0262 | bc loss   0.0000 | reward 3960.0297 | eta   1.0000 | t: 14.6088
[2026-09-15 02:54:34,198][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 0.0, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:34,260][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.62912870047694e-08, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:34,322][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 2.7170784733243636e-07, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:34,386][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 5.56265717932547e-07, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:34,449][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.629657142795622e-07, update_epoch: 1, num_batch: 4
[2026-09-15 02:54:34,510][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.4743625342816813e-06, update_epoch: 1, num_batch: 4
[2026-09-15 02:54:34,573][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 2.1722667042922694e-06, update_epoch: 1, num_batch: 4
[2026-09-15 02:54:34,633][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 3.06445167552738e-06, update_epoch: 1, num_batch: 4
[2026-09-15 02:54:34,695][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 4.026338956464315e-06, update_epoch: 2, num_batch: 4
[2026-09-15 02:54:34,756][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 5.333999979484361e-06, update_epoch: 2, num_batch: 4
[2026-09-15 02:54:34,822][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 6.423101694963407e-06, update_epoch: 2, num_batch: 4
[2026-09-15 02:54:34,882][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.895244380051736e-06, update_epoch: 2, num_batch: 4
[2026-09-15 02:54:34,944][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.707293090992607e-06, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:35,005][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.346374099550303e-06, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:35,067][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.844237865763716e-06, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:35,130][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.020783201965969e-05, update_epoch: 3, num_batch: 4
[2026-09-15 02:54:35,191][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.0697063771658577e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:35,253][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.1053159141738433e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:35,315][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.1418826034059748e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:36,446][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.1429817277530674e-05, update_epoch: 4, num_batch: 4
[2026-09-15 02:54:36,459][agent.finetune.train_ppo_diffusion_agent][INFO] - 3: step   240000 | loss   0.0205 | pg loss  -0.0004 | value loss   0.0418 | bc loss   0.0000 | reward 3974.1664 | eta   1.0000 | t: 16.5398
[2026-09-15 02:54:49,999][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 0.0, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:50,060][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.115449645629269e-08, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:50,121][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 2.5141693527075404e-07, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:50,183][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 5.443604322863393e-07, update_epoch: 0, num_batch: 4
[2026-09-15 02:54:50,244][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.890402452583658e-07, update_epoch: 1, num_batch: 4
[2026-09-15 02:54:50,305][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.6502999642398208e-06, update_epoch: 1, num_batch: 4
