path,kind,status,bytes,size,sha256,detail
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\dppo.egg-info\PKG-INFO,file,created/downloaded,16985,16.59 KiB,9fa8447283b049b2e2b6db866c3dbb91febef59c632cef51726564bb65c2796e,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\dppo.egg-info\requires.txt,file,created/downloaded,768,768.00 B,f5b31a132feeea3dcf1df9000e9c5f518f6fd22effaaf5c0a667cfe0ec8e8d71,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\dppo.egg-info\SOURCES.txt,file,created/downloaded,3423,3.34 KiB,1cde7ffcf991886fa17330b91afbaf094fac1056f2fdd1d8ee299f791e386ae5,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\dppo.egg-info\top_level.txt,file,created/downloaded,45,45.00 B,e4383ef41eac9bb34e4d0b092816d8318b36c018805b95239e847e500f95c64d,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\__init__.py,file,created/downloaded,8068,7.88 KiB,f9c641ae2dcc59c547eb7858478cfd50fe6ad97a603e4f49904770043f4507ad,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\__pycache__\__init__.cpython-312.pyc,file,created/downloaded,7148,6.98 KiB,b5b260cd90839b21a73cf369a02fc7506504a8c5eb463f4c6373a7227527c76a,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\__pycache__\async_vector_env.cpython-312.pyc,file,created/downloaded,36353,35.50 KiB,62dbe9a288c3c44c32f971b42f317011d67ed08f9518538f0a684c764327bb4e,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\__pycache__\sync_vector_env.cpython-312.pyc,file,created/downloaded,10112,9.88 KiB,baa4f7781e2032435bac34c6e50a59f2b4d90a0620226c27311b6c8abcc75ff1,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\__pycache__\vector_env.cpython-312.pyc,file,created/downloaded,12258,11.97 KiB,a4ee4abffa60beea362398b991bf3b6380d93a05b78e5778e6342b3d0f998f39,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\async_vector_env.py,file,created/downloaded,31604,30.86 KiB,ea2fedfd75f1ccc22bea307d523823dac1334df8e9c5fe65015ef9ee2cb7d614,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\furniture_normalizer.py,file,created/downloaded,2517,2.46 KiB,d21bccaddfa238fa6e2271d0d612b22efe174b83601ab246bb4409fd179d8266,
