timestamp_unix,child_pid,cpu_total_percent,gpu_util_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_sm_clock_mhz,gpu_power_w,gpu_temperature_c
1789097465.079241,386,3.056,2,2122,16311,2617,22.41,42
1789097466.1380022,386,9.535,2,2122,16311,2617,22.55,42
1789097467.200074,386,3.202,12,1880,16311,2617,23.81,42
1789097468.2704687,386,3.080,3,1896,16311,2617,23.27,42
1789097469.325495,386,2.868,2,1896,16311,2617,22.45,42
1789097470.376242,386,2.462,2,1896,16311,2617,22.43,42
1789097471.4283125,386,2.543,2,1898,16311,2617,22.36,42
1789097472.4827783,386,2.613,4,1877,16311,2617,23.25,42
1789097473.5314326,386,2.745,2,1886,16311,2617,23.45,42
1789097474.5802755,386,3.080,2,1886,16311,2617,22.51,42
1789097475.6375206,386,2.742,2,1891,16311,2617,22.54,42
1789097476.690153,386,2.760,2,1891,16311,2617,22.45,42
1789097477.740314,386,2.351,2,1892,16311,2617,22.88,42
1789097478.7945948,386,2.503,2,1898,16311,2617,22.48,42
1789097479.8432891,386,3.008,2,1894,16311,2617,22.33,42
1789097480.8932223,386,5.697,2,1891,16311,2617,22.46,42
1789097481.940706,386,2.893,2,1891,16311,2617,22.39,42
1789097482.9873974,386,3.370,2,1891,16311,2617,22.35,42
1789097484.036266,386,2.512,2,1895,16311,2617,22.42,42
1789097485.0888515,386,2.472,2,1895,16311,2617,22.40,42
1789097486.137904,386,2.808,2,1895,16311,2617,22.46,42
1789097487.1874986,386,2.593,1,1900,16311,2617,22.46,42
1789097488.2272842,386,3.545,3,2087,16311,2617,23.46,42
1789097489.2659862,386,8.072,14,2087,16311,2617,33.19,43
1789097490.2984893,386,7.867,15,2092,16311,2617,33.77,43
1789097491.340212,386,8.136,20,2092,16311,2617,33.96,43
1789097492.3994937,386,7.893,14,2092,16311,2617,33.58,43
1789097493.4445138,386,7.497,20,2092,16311,2617,33.84,43
1789097494.479586,386,8.184,19,2097,16311,2617,34.06,43
1789097495.526895,386,8.216,18,2097,16311,2617,33.94,43
1789097496.5620282,386,9.249,16,2097,16311,2617,33.83,43
1789097497.6024947,386,6.926,17,2102,16311,2617,33.79,43
1789097498.6420453,386,10.098,18,2102,16311,2617,33.93,44
1789097499.6923378,386,8.387,21,2102,16311,2617,33.94,43
1789097500.730321,386,7.394,19,2107,16311,2617,33.94,43
1789097501.7644632,386,8.330,18,2107,16311,2617,34.02,43
1789097502.804143,386,7.875,16,2107,16311,2617,33.31,43
1789097503.8499694,386,8.243,16,2112,16311,2617,34.03,44
1789097504.8881683,386,9.077,16,2112,16311,2617,33.94,44
1789097505.9279377,386,8.055,18,2117,16311,2617,33.59,44
1789097506.961893,386,7.810,17,2117,16311,2617,34.06,44
1789097507.9901376,386,7.352,14,2117,16311,2617,33.66,44
1789097509.0301702,386,8.286,12,2122,16311,2617,33.42,44
1789097510.0703852,386,8.330,20,2122,16311,2617,34.14,44
1789097511.1171577,386,8.317,18,2122,16311,2617,33.74,44
1789097512.1503334,386,8.419,18,2122,16311,2617,34.01,44
1789097513.186601,386,8.269,16,2130,16311,2617,33.47,44
1789097514.2157857,386,7.857,23,2130,16311,2617,34.15,44
1789097515.250532,386,9.920,16,2170,16311,2617,33.77,44
1789097516.2789562,386,4.825,53,2993,16311,2842,75.87,52
1789097517.3159206,386,5.495,93,2993,16311,2857,142.04,55
