iteration,environment_steps,eval_episode_reward,train_episode_reward
0,0,1436.6171779257947,
1,80000,,1237.3911284140224
2,160000,,1286.5523601981752
3,240000,,1305.134915802043
4,320000,,1316.9955121061196
5,400000,,1355.8472740852662
6,480000,,1321.5513972925228
7,560000,,1344.4057998712333
8,640000,,1391.394280528881
9,720000,,1441.6185024121878
10,720000,1656.2723263970584,
11,800000,,1473.7478657948632
12,880000,,1473.8296986856296
13,960000,,1527.042049530844
14,1040000,,1518.8387972278083
15,1120000,,1603.531532418786
16,1200000,,1624.3963215499682
17,1280000,,1748.3403490038306
18,1360000,,1766.520226245462
19,1440000,,1881.7668696865553
20,1440000,2600.0720561655025,
21,1520000,,2018.5629368681182
22,1600000,,2015.347201281568
23,1680000,,2152.632206567261
24,1760000,,2306.540479300191
25,1840000,,2416.954939543148
26,1920000,,2496.779915657851
27,2000000,,2528.5679676264526
28,2080000,,2667.0592731924144
29,2160000,,2590.243200409616
30,2160000,2886.6120907573772,
31,2240000,,2700.710720854689
32,2320000,,2789.543029153388
33,2400000,,2744.5571264075006
34,2480000,,2828.804094488267
35,2560000,,2879.075190601371
36,2640000,,2757.8082704586172
37,2720000,,2837.065407175038
38,2800000,,2895.6332348768237
39,2880000,,2839.578973643579
40,2880000,2820.3139656130597,
41,2960000,,2872.3608091456467
42,3040000,,2809.1439288188108
43,3120000,,2841.5897894861096
44,3200000,,2799.326184427354
45,3280000,,2855.580784420726
46,3360000,,2823.658716124281
47,3440000,,2849.599846582871
48,3520000,,2851.8472140211734
49,3600000,,2826.3749946081057
50,3600000,2790.6162013027024,
51,3680000,,2836.2982010642636
52,3760000,,2843.9450046347274
53,3840000,,2845.4066742076316
54,3920000,,2798.537283879885
55,4000000,,2792.4151593046536
56,4080000,,2753.618492116891
57,4160000,,2760.421375061005
58,4240000,,2800.638464855601
59,4320000,,2751.201733587126
60,4320000,2723.093727266849,
61,4400000,,2792.0424525228505
62,4480000,,2817.575765853485
63,4560000,,2762.723616604233
64,4640000,,2786.620973387152
65,4720000,,2724.2429644432887
66,4800000,,2732.3262213276607
67,4880000,,2790.372795330644
68,4960000,,2792.9854320473546
69,5040000,,2769.327222999926
70,5040000,2641.087525460591,
71,5120000,,2719.8074481691738
72,5200000,,2740.855732976285
73,5280000,,2686.827415109591
74,5360000,,2754.132725393041
75,5440000,,2620.3654468322507
76,5520000,,2722.8443628736877
77,5600000,,2735.440885860994
78,5680000,,2711.0589007124927
79,5760000,,2630.162287582483
80,5760000,2653.4185685359907,
81,5840000,,2733.8734985441897
82,5920000,,2703.7183713518702
83,6000000,,2743.7532882647465
84,6080000,,2708.493114450501
85,6160000,,2617.1383299951444
86,6240000,,2718.2127977407895
87,6320000,,2701.2594859857527
88,6400000,,2632.9195431657267
89,6480000,,2698.2122140538354
90,6480000,2517.6271589252447,
91,6560000,,2672.400235353844
92,6640000,,2640.730810475272
93,6720000,,2659.3044675641813
94,6800000,,2686.6606714202258
95,6880000,,2605.5056648420054
96,6960000,,2622.5880511534583
97,7040000,,2624.9894103558577
98,7120000,,2698.586876811501
99,7200000,,2630.577243854467
100,7200000,2549.544973620542,
101,7280000,,2606.324999951336
102,7360000,,2666.2534161046487
103,7440000,,2620.2339255059405
104,7520000,,2671.82429561169
105,7600000,,2678.454024240023
106,7680000,,2705.8625576017307
107,7760000,,2664.7685611772745
108,7840000,,2667.0316341907755
