method,seed,iteration,environment_steps,high_level_decision_steps,eval_episode_reward
IDQL,42,380,27360000,6840000,2973.1626762880937
IDQL,42,390,28080000,7020000,2979.0922846570843
IDQL,42,400,28800000,7200000,2963.12136688012
IDQL,42,410,29520000,7380000,2961.6238741839384
IDQL,42,420,30240000,7560000,2962.5243413369717
IDQL,42,430,30960000,7740000,2951.921979170129
IDQL,42,440,31680000,7920000,2967.8462623543396
IDQL,42,450,32400000,8100000,2984.8767474849506
IDQL,42,460,33120000,8280000,2979.743260337242
IDQL,42,470,33840000,8460000,2980.6373479988515
IDQL,42,480,34560000,8640000,2981.371161158838
IDQL,42,490,35280000,8820000,2959.851861093629
IDQL,42,500,36000000,9000000,2975.447246597232
IDQL,42,510,36720000,9180000,2981.5818259843145
IDQL,42,520,37440000,9360000,2947.7589755582835
IDQL,42,530,38160000,9540000,2938.9145774087656
IDQL,42,540,38880000,9720000,2951.553973791129
IDQL,42,550,39600000,9900000,2944.812684988979
IDQL,42,560,40320000,10080000,2994.174717593368
IDQL,42,570,41040000,10260000,2987.0266412108417
IDQL,42,580,41760000,10440000,3007.4889099871634
IDQL,42,590,42480000,10620000,3040.7863872785974
IDQL,42,600,43200000,10800000,3025.7475378596414
IDQL,42,610,43920000,10980000,3022.4850789349252
IDQL,42,620,44640000,11160000,3038.1029205831073
IDQL,42,630,45360000,11340000,3049.995483755204
IDQL,42,640,46080000,11520000,3037.4937017180027
IDQL,42,650,46800000,11700000,3034.3290257785134
IDQL,42,660,47520000,11880000,3042.6884439863124
IDQL,42,670,48240000,12060000,3024.625643920558
IDQL,42,680,48960000,12240000,3031.9593515604565
IDQL,42,690,49680000,12420000,3041.4637847511613
IDQL,42,700,50400000,12600000,3060.5359631104357
IDQL,42,710,51120000,12780000,3051.0464404051277
IDQL,42,720,51840000,12960000,3059.24726219724
IDQL,42,730,52560000,13140000,3028.820557501808
IDQL,42,740,53280000,13320000,3045.905801324128
IDQL,42,750,54000000,13500000,3026.926831170805
IDQL,42,760,54720000,13680000,2989.7546402944004
IDQL,42,770,55440000,13860000,3013.8337322493853
IDQL,42,780,56160000,14040000,2980.845541600337
IDQL,42,790,56880000,14220000,2987.8323770853353
IDQL,42,800,57600000,14400000,2970.5493807382763
IDQL,42,810,58320000,14580000,3025.766690640833
IDQL,42,820,59040000,14760000,3015.8798863806037
IDQL,42,830,59760000,14940000,2995.1500150081074
IDQL,42,840,60480000,15120000,3019.3795889256594
IDQL,42,850,61200000,15300000,3047.492874294173
IDQL,42,860,61920000,15480000,3073.4702879551396
IDQL,42,870,62640000,15660000,3105.5407562520054
IDQL,42,880,63360000,15840000,3107.545152666812
IDQL,42,890,64080000,16020000,3082.77782843408
IDQL,42,900,64800000,16200000,3078.92611607716
IDQL,42,910,65520000,16380000,3085.96766364187
IDQL,42,920,66240000,16560000,3089.86995586906
IDQL,42,930,66960000,16740000,3104.0614213064882
IDQL,42,940,67680000,16920000,3126.7941701746104
IDQL,42,950,68400000,17100000,3136.7498406854975
IDQL,42,960,69120000,17280000,3141.7982747497126
IDQL,42,970,69840000,17460000,3118.410293802591
IDQL,42,980,70560000,17640000,3148.290441163476
IDQL,42,990,71280000,17820000,3150.276356386923
DIPO,42,0,0,0,1434.9198809246259
DIPO,42,10,720000,180000,1275.994358664959
DIPO,42,20,1440000,360000,1383.4841069423933
DIPO,42,30,2160000,540000,1471.12172502559
DIPO,42,40,2880000,720000,1524.8522245968963
DIPO,42,50,3600000,900000,1574.578689053869
DIPO,42,60,4320000,1080000,1623.6349741491324
DIPO,42,70,5040000,1260000,1702.0113450747494
DIPO,42,80,5760000,1440000,1785.8502697191243
DIPO,42,90,6480000,1620000,1862.2344431385618
DIPO,42,100,7200000,1800000,2012.7030154375461
DIPO,42,110,7920000,1980000,2143.898219551054
DIPO,42,120,8640000,2160000,2403.663667826235
DIPO,42,130,9360000,2340000,2581.339899853366
DIPO,42,140,10080000,2520000,2641.8424127248754
DIPO,42,150,10800000,2700000,2782.613986940772
DIPO,42,160,11520000,2880000,2866.8783915742315
DIPO,42,170,12240000,3060000,2873.0583416116788
DIPO,42,180,12960000,3240000,2938.9618423600127
DIPO,42,190,13680000,3420000,2920.463892437142
DIPO,42,200,14400000,3600000,2910.505812746776
DIPO,42,210,15120000,3780000,2892.9681786948568
DIPO,42,220,15840000,3960000,2882.377219492708
DIPO,42,230,16560000,4140000,2875.7267846651325
DIPO,42,240,17280000,4320000,2868.21838600128
DIPO,42,250,18000000,4500000,2858.362261696101
DIPO,42,260,18720000,4680000,2842.4069382294806
DIPO,42,270,19440000,4860000,2833.0901903805334
DIPO,42,280,20160000,5040000,2828.415520783379
DIPO,42,290,20880000,5220000,2822.178285673941
DIPO,42,300,21600000,5400000,2823.2489085303787
DIPO,42,310,22320000,5580000,2813.5041755969473
DIPO,42,320,23040000,5760000,2809.8717541337965
DIPO,42,330,23760000,5940000,2800.46681524697
DIPO,42,340,24480000,6120000,2788.013706913857
DIPO,42,350,25200000,6300000,2773.341897917175
DIPO,42,360,25920000,6480000,2763.6299630971894
DIPO,42,370,26640000,6660000,2751.3047436000716
DIPO,42,380,27360000,6840000,2733.2933206679545
DIPO,42,390,28080000,7020000,2714.254999760683
DIPO,42,400,28800000,7200000,2698.8074509353246
DIPO,42,410,29520000,7380000,2682.75299798589
DIPO,42,420,30240000,7560000,2665.7132371282014
DIPO,42,430,30960000,7740000,2649.8555241116283
DIPO,42,440,31680000,7920000,2630.8371913434376
DIPO,42,450,32400000,8100000,2614.03283195731
DIPO,42,460,33120000,8280000,2602.3613983636874
DIPO,42,470,33840000,8460000,2587.032203780507
DIPO,42,480,34560000,8640000,2575.4348934758605
DIPO,42,490,35280000,8820000,2561.9812097297386
DIPO,42,500,36000000,9000000,2559.8150942896964
DIPO,42,510,36720000,9180000,2565.5798522959694
DIPO,42,520,37440000,9360000,2577.3149508703946
DIPO,42,530,38160000,9540000,2596.984396569123
DIPO,42,540,38880000,9720000,2616.354997671547
DIPO,42,550,39600000,9900000,2634.417247064484
DIPO,42,560,40320000,10080000,2646.4677957918116
DIPO,42,570,41040000,10260000,2657.5646445969805
DIPO,42,580,41760000,10440000,2662.5217113736276
DIPO,42,590,42480000,10620000,2661.0049718620753
DIPO,42,600,43200000,10800000,2651.363577487674
DIPO,42,610,43920000,10980000,2645.426879389665
DIPO,42,620,44640000,11160000,2636.462092612338
DIPO,42,630,45360000,11340000,2629.163360949213
DIPO,42,640,46080000,11520000,2621.7252328561453
DIPO,42,650,46800000,11700000,2624.7590094260204
DIPO,42,660,47520000,11880000,2635.8430153404124
DIPO,42,670,48240000,12060000,2646.328656534491
DIPO,42,680,48960000,12240000,2663.4001353421604
DIPO,42,690,49680000,12420000,2677.9306468938403
DIPO,42,700,50400000,12600000,2697.184103163796
DIPO,42,710,51120000,12780000,2701.3322329173634
DIPO,42,720,51840000,12960000,2705.6419632160496
DIPO,42,730,52560000,13140000,2708.7497089371873
DIPO,42,740,53280000,13320000,2709.3582373552467
DIPO,42,750,54000000,13500000,2707.823483673104
DIPO,42,760,54720000,13680000,2703.587888161933
DIPO,42,770,55440000,13860000,2694.0759383176055
DIPO,42,780,56160000,14040000,2685.127632691388
DIPO,42,790,56880000,14220000,2670.8289017584116
DIPO,42,800,57600000,14400000,2657.458541853147
DIPO,42,810,58320000,14580000,2644.9582777122805
DIPO,42,820,59040000,14760000,2635.344450988797
DIPO,42,830,59760000,14940000,2626.0432606880786
DIPO,42,840,60480000,15120000,2622.1295585209928
DIPO,42,850,61200000,15300000,2621.811148465261
DIPO,42,860,61920000,15480000,2629.732097590443
DIPO,42,870,62640000,15660000,2636.893022802929
DIPO,42,880,63360000,15840000,2646.289500993285
DIPO,42,890,64080000,16020000,2650.5175492360295
DIPO,42,900,64800000,16200000,2651.591641775245
DIPO,42,910,65520000,16380000,2657.110413270105
DIPO,42,920,66240000,16560000,2656.732642858562
DIPO,42,930,66960000,16740000,2653.6596773557694
DIPO,42,940,67680000,16920000,2650.8792812382258
DIPO,42,950,68400000,17100000,2644.7461278527503
DIPO,42,960,69120000,17280000,2650.032171507062
DIPO,42,970,69840000,17460000,2652.172779312658
DIPO,42,980,70560000,17640000,2659.7330899731583
DIPO,42,990,71280000,17820000,2671.399609111509
