iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
166,12000000,3000000.0,,,,276.82
167,12080000,3020000.0,,,,273.805
168,12160000,3040000.0,,,,268.22
169,12240000,3060000.0,,,,272.53
170,12240000,3060000.0,0.99,282.67,,
171,12320000,3080000.0,,,,267.735
172,12400000,3100000.0,,,,271.6
173,12480000,3120000.0,,,,275.435
174,12560000,3140000.0,,,,274.045
175,12640000,3160000.0,,,,268.03
176,12720000,3180000.0,,,,275.43
177,12800000,3200000.0,,,,271.675
178,12880000,3220000.0,,,,271.24
179,12960000,3240000.0,,,,277.055
180,12960000,3240000.0,0.995,283.675,,
181,13040000,3260000.0,,,,271.795
182,13120000,3280000.0,,,,276.115
183,13200000,3300000.0,,,,278.145
184,13280000,3320000.0,,,,272.195
185,13360000,3340000.0,,,,279.775
186,13440000,3360000.0,,,,278.325
187,13520000,3380000.0,,,,280.84
188,13600000,3400000.0,,,,278.585
189,13680000,3420000.0,,,,278.875
190,13680000,3420000.0,0.99,287.12,,
191,13760000,3440000.0,,,,282.36
192,13840000,3460000.0,,,,277.06
193,13920000,3480000.0,,,,280.155
194,14000000,3500000.0,,,,283.38
195,14080000,3520000.0,,,,279.215
196,14160000,3540000.0,,,,277.62
197,14240000,3560000.0,,,,273.295
198,14320000,3580000.0,,,,282.875
199,14400000,3600000.0,,,,278.01
200,14400000,3600000.0,0.995,293.675,,
