iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
166,24000000,3000000.0,,,,330.44
167,24160000,3020000.0,,,,327.555
168,24320000,3040000.0,,,,342.765
169,24480000,3060000.0,,,,335.75
170,24480000,3060000.0,0.935,381.93,,
171,24640000,3080000.0,,,,330.865
172,24800000,3100000.0,,,,342.42
173,24960000,3120000.0,,,,339.78
174,25120000,3140000.0,,,,332.33
175,25280000,3160000.0,,,,330.385
176,25440000,3180000.0,,,,330.76
177,25600000,3200000.0,,,,326.06
178,25760000,3220000.0,,,,335.335
179,25920000,3240000.0,,,,366.275
180,25920000,3240000.0,0.995,418.78,,
181,26080000,3260000.0,,,,339.7
182,26240000,3280000.0,,,,359.93
183,26400000,3300000.0,,,,347.365
184,26560000,3320000.0,,,,360.095
185,26720000,3340000.0,,,,353.455
186,26880000,3360000.0,,,,366.275
187,27040000,3380000.0,,,,357.585
188,27200000,3400000.0,,,,365.86
189,27360000,3420000.0,,,,372.065
190,27360000,3420000.0,0.945,398.425,,
191,27520000,3440000.0,,,,336.26
192,27680000,3460000.0,,,,347.935
193,27840000,3480000.0,,,,354.6
194,28000000,3500000.0,,,,359.755
195,28160000,3520000.0,,,,334.97
196,28320000,3540000.0,,,,361.845
197,28480000,3560000.0,,,,362.255
198,28640000,3580000.0,,,,365.485
199,28800000,3600000.0,,,,363.76
200,28800000,3600000.0,0.955,412.4,,
