iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
0,0,0.0,0.615,73.43,,
1,60000,15000.0,,,,60.73
2,120000,30000.0,,,,63.325
3,180000,45000.0,,,,61.965
4,240000,60000.0,,,,50.51
5,300000,75000.0,,,,51.435
6,360000,90000.0,,,,52.25
7,420000,105000.0,,,,55.98
8,480000,120000.0,,,,52.5
9,540000,135000.0,,,,49.3
10,540000,135000.0,0.535,64.48,,
11,600000,150000.0,,,,49.975
12,660000,165000.0,,,,51.45
13,720000,180000.0,,,,58.8
14,780000,195000.0,,,,43.21
15,840000,210000.0,,,,41.59
16,900000,225000.0,,,,54.185
17,960000,240000.0,,,,51.84
18,1020000,255000.0,,,,50.925
19,1080000,270000.0,,,,55.36
20,1080000,270000.0,0.59,66.97,,
21,1140000,285000.0,,,,50.265
22,1200000,300000.0,,,,43.475
23,1260000,315000.0,,,,48.505
24,1320000,330000.0,,,,49.325
25,1380000,345000.0,,,,54.78
26,1440000,360000.0,,,,54.915
27,1500000,375000.0,,,,52.73
28,1560000,390000.0,,,,43.88
29,1620000,405000.0,,,,40.905
30,1620000,405000.0,0.515,58.295,,
31,1680000,420000.0,,,,46.0
32,1740000,435000.0,,,,49.05
33,1800000,450000.0,,,,47.315
34,1860000,465000.0,,,,49.335
35,1920000,480000.0,,,,56.0
36,1980000,495000.0,,,,57.675
37,2040000,510000.0,,,,49.985
38,2100000,525000.0,,,,52.715
39,2160000,540000.0,,,,55.91
40,2160000,540000.0,0.53,64.51,,
41,2220000,555000.0,,,,48.455
42,2280000,570000.0,,,,53.13
43,2340000,585000.0,,,,53.6
44,2400000,600000.0,,,,57.235
45,2460000,615000.0,,,,48.935
46,2520000,630000.0,,,,52.195
47,2580000,645000.0,,,,55.855
48,2640000,660000.0,,,,46.405
49,2700000,675000.0,,,,51.845
50,2700000,675000.0,0.525,68.425,,
51,2760000,690000.0,,,,47.985
52,2820000,705000.0,,,,56.675
53,2880000,720000.0,,,,62.06
54,2940000,735000.0,,,,59.795
55,3000000,750000.0,,,,63.7
56,3060000,765000.0,,,,67.395
57,3120000,780000.0,,,,65.63
58,3180000,795000.0,,,,62.955
59,3240000,810000.0,,,,58.435
60,3240000,810000.0,0.59,73.86,,
61,3300000,825000.0,,,,58.095
62,3360000,840000.0,,,,59.15
63,3420000,855000.0,,,,63.395
64,3480000,870000.0,,,,68.185
65,3540000,885000.0,,,,64.535
66,3600000,900000.0,,,,66.365
67,3660000,915000.0,,,,63.1
68,3720000,930000.0,,,,60.335
69,3780000,945000.0,,,,68.53
70,3780000,945000.0,0.695,89.8,,
71,3840000,960000.0,,,,69.255
72,3900000,975000.0,,,,63.74
73,3960000,990000.0,,,,61.09
74,4020000,1005000.0,,,,68.935
75,4080000,1020000.0,,,,76.14
76,4140000,1035000.0,,,,63.39
77,4200000,1050000.0,,,,71.075
78,4260000,1065000.0,,,,69.65
79,4320000,1080000.0,,,,71.0
80,4320000,1080000.0,0.61,78.845,,
81,4380000,1095000.0,,,,73.1
82,4440000,1110000.0,,,,66.57
83,4500000,1125000.0,,,,63.805
84,4560000,1140000.0,,,,64.105
85,4620000,1155000.0,,,,68.87
86,4680000,1170000.0,,,,76.27
87,4740000,1185000.0,,,,70.5
88,4800000,1200000.0,,,,73.5
89,4860000,1215000.0,,,,78.595
90,4860000,1215000.0,0.64,85.98,,
91,4920000,1230000.0,,,,60.25
92,4980000,1245000.0,,,,70.32
93,5040000,1260000.0,,,,73.915
94,5100000,1275000.0,,,,78.025
95,5160000,1290000.0,,,,84.985
96,5220000,1305000.0,,,,76.01
97,5280000,1320000.0,,,,73.82
98,5340000,1335000.0,,,,74.845
99,5400000,1350000.0,,,,69.39
100,5400000,1350000.0,0.75,94.415,,
101,5460000,1365000.0,,,,81.525
102,5520000,1380000.0,,,,73.76
103,5580000,1395000.0,,,,75.655
104,5640000,1410000.0,,,,80.19
105,5700000,1425000.0,,,,73.015
106,5760000,1440000.0,,,,89.96
107,5820000,1455000.0,,,,81.25
108,5880000,1470000.0,,,,71.14
109,5940000,1485000.0,,,,77.015
110,5940000,1485000.0,0.735,97.87,,
111,6000000,1500000.0,,,,81.04
112,6060000,1515000.0,,,,86.145
113,6120000,1530000.0,,,,74.83
114,6180000,1545000.0,,,,77.61
115,6240000,1560000.0,,,,85.16
116,6300000,1575000.0,,,,81.23
117,6360000,1590000.0,,,,78.95
118,6420000,1605000.0,,,,79.195
119,6480000,1620000.0,,,,95.11
120,6480000,1620000.0,0.82,104.86,,
121,6540000,1635000.0,,,,78.65
122,6600000,1650000.0,,,,80.91
123,6660000,1665000.0,,,,76.035
124,6720000,1680000.0,,,,84.025
125,6780000,1695000.0,,,,83.32
126,6840000,1710000.0,,,,85.145
127,6900000,1725000.0,,,,86.225
128,6960000,1740000.0,,,,90.025
129,7020000,1755000.0,,,,88.935
130,7020000,1755000.0,0.795,102.88,,
131,7080000,1770000.0,,,,83.035
132,7140000,1785000.0,,,,81.53
133,7200000,1800000.0,,,,84.135
134,7260000,1815000.0,,,,84.125
135,7320000,1830000.0,,,,89.315
136,7380000,1845000.0,,,,92.945
137,7440000,1860000.0,,,,84.37
138,7500000,1875000.0,,,,94.41
139,7560000,1890000.0,,,,85.72
140,7560000,1890000.0,0.835,106.605,,
141,7620000,1905000.0,,,,89.055
142,7680000,1920000.0,,,,94.07
143,7740000,1935000.0,,,,84.41
144,7800000,1950000.0,,,,87.55
145,7860000,1965000.0,,,,88.315
146,7920000,1980000.0,,,,90.85
147,7980000,1995000.0,,,,92.465
148,8040000,2010000.0,,,,86.625
149,8100000,2025000.0,,,,94.055
150,8100000,2025000.0,0.885,112.725,,
151,8160000,2040000.0,,,,96.47
152,8220000,2055000.0,,,,89.685
153,8280000,2070000.0,,,,95.44
154,8340000,2085000.0,,,,91.715
155,8400000,2100000.0,,,,94.135
156,8460000,2115000.0,,,,87.655
157,8520000,2130000.0,,,,93.335
158,8580000,2145000.0,,,,94.34
159,8640000,2160000.0,,,,96.42
160,8640000,2160000.0,0.87,110.47,,
161,8700000,2175000.0,,,,93.63
162,8760000,2190000.0,,,,90.915
163,8820000,2205000.0,,,,93.83
164,8880000,2220000.0,,,,93.855
165,8940000,2235000.0,,,,98.26
166,9000000,2250000.0,,,,87.94
167,9060000,2265000.0,,,,94.045
168,9120000,2280000.0,,,,86.5
169,9180000,2295000.0,,,,100.75
170,9180000,2295000.0,0.855,109.935,,
171,9240000,2310000.0,,,,89.455
172,9300000,2325000.0,,,,92.45
173,9360000,2340000.0,,,,97.105
174,9420000,2355000.0,,,,94.315
175,9480000,2370000.0,,,,94.82
176,9540000,2385000.0,,,,88.43
177,9600000,2400000.0,,,,89.895
178,9660000,2415000.0,,,,89.905
179,9720000,2430000.0,,,,93.305
180,9720000,2430000.0,0.89,112.36,,
181,9780000,2445000.0,,,,92.395
182,9840000,2460000.0,,,,94.925
183,9900000,2475000.0,,,,96.115
184,9960000,2490000.0,,,,91.875
185,10020000,2505000.0,,,,98.645
186,10080000,2520000.0,,,,94.81
187,10140000,2535000.0,,,,85.895
188,10200000,2550000.0,,,,96.33
189,10260000,2565000.0,,,,91.28
190,10260000,2565000.0,0.895,108.72,,
191,10320000,2580000.0,,,,95.48
192,10380000,2595000.0,,,,87.945
193,10440000,2610000.0,,,,90.55
194,10500000,2625000.0,,,,92.775
195,10560000,2640000.0,,,,92.57
196,10620000,2655000.0,,,,97.3
197,10680000,2670000.0,,,,94.94
198,10740000,2685000.0,,,,91.84
199,10800000,2700000.0,,,,92.26
200,10800000,2700000.0,0.87,103.955,,
201,10860000,2715000.0,,,,98.775
202,10920000,2730000.0,,,,94.735
203,10980000,2745000.0,,,,87.825
204,11040000,2760000.0,,,,88.76
205,11100000,2775000.0,,,,90.155
206,11160000,2790000.0,,,,97.94
207,11220000,2805000.0,,,,99.445
208,11280000,2820000.0,,,,91.565
209,11340000,2835000.0,,,,99.895
210,11340000,2835000.0,0.895,108.73,,
211,11400000,2850000.0,,,,91.975
212,11460000,2865000.0,,,,97.255
213,11520000,2880000.0,,,,92.54
214,11580000,2895000.0,,,,94.25
215,11640000,2910000.0,,,,87.005
216,11700000,2925000.0,,,,92.405
217,11760000,2940000.0,,,,93.995
218,11820000,2955000.0,,,,90.95
219,11880000,2970000.0,,,,98.085
220,11880000,2970000.0,0.935,113.98,,
221,11940000,2985000.0,,,,94.145
222,12000000,3000000.0,,,,85.81
223,12060000,3015000.0,,,,99.955
224,12120000,3030000.0,,,,92.83
225,12180000,3045000.0,,,,101.37
226,12240000,3060000.0,,,,96.01
227,12300000,3075000.0,,,,97.53
228,12360000,3090000.0,,,,92.865
229,12420000,3105000.0,,,,87.565
230,12420000,3105000.0,0.95,113.08,,
231,12480000,3120000.0,,,,101.205
232,12540000,3135000.0,,,,94.995
233,12600000,3150000.0,,,,95.24
234,12660000,3165000.0,,,,92.655
235,12720000,3180000.0,,,,96.395
236,12780000,3195000.0,,,,100.91
237,12840000,3210000.0,,,,95.745
238,12900000,3225000.0,,,,94.785
239,12960000,3240000.0,,,,94.68
240,12960000,3240000.0,0.93,111.025,,
241,13020000,3255000.0,,,,92.475
242,13080000,3270000.0,,,,92.16
243,13140000,3285000.0,,,,92.905
244,13200000,3300000.0,,,,95.605
245,13260000,3315000.0,,,,91.72
246,13320000,3330000.0,,,,92.425
247,13380000,3345000.0,,,,95.005
248,13440000,3360000.0,,,,102.295
249,13500000,3375000.0,,,,89.925
250,13500000,3375000.0,0.93,111.98,,
251,13560000,3390000.0,,,,95.905
252,13620000,3405000.0,,,,100.085
253,13680000,3420000.0,,,,97.42
254,13740000,3435000.0,,,,94.015
255,13800000,3450000.0,,,,91.13
256,13860000,3465000.0,,,,90.955
257,13920000,3480000.0,,,,95.19
258,13980000,3495000.0,,,,87.575
259,14040000,3510000.0,,,,89.53
260,14040000,3510000.0,0.9,107.33,,
261,14100000,3525000.0,,,,91.785
262,14160000,3540000.0,,,,94.935
263,14220000,3555000.0,,,,101.495
264,14280000,3570000.0,,,,90.96
265,14340000,3585000.0,,,,95.365
266,14400000,3600000.0,,,,95.425
267,14460000,3615000.0,,,,98.56
268,14520000,3630000.0,,,,93.395
269,14580000,3645000.0,,,,98.7
270,14580000,3645000.0,0.92,110.365,,
271,14640000,3660000.0,,,,91.285
272,14700000,3675000.0,,,,98.2
273,14760000,3690000.0,,,,90.06
274,14820000,3705000.0,,,,98.67
275,14880000,3720000.0,,,,94.42
276,14940000,3735000.0,,,,96.8
277,15000000,3750000.0,,,,96.795
278,15060000,3765000.0,,,,87.225
279,15120000,3780000.0,,,,90.63
280,15120000,3780000.0,0.955,111.975,,
281,15180000,3795000.0,,,,91.485
282,15240000,3810000.0,,,,90.25
283,15300000,3825000.0,,,,90.61
284,15360000,3840000.0,,,,92.845
285,15420000,3855000.0,,,,87.36
286,15480000,3870000.0,,,,90.48
287,15540000,3885000.0,,,,91.56
288,15600000,3900000.0,,,,93.395
289,15660000,3915000.0,,,,84.36
290,15660000,3915000.0,0.94,105.88,,
291,15720000,3930000.0,,,,92.29
292,15780000,3945000.0,,,,86.605
293,15840000,3960000.0,,,,83.725
294,15900000,3975000.0,,,,87.43
295,15960000,3990000.0,,,,89.62
296,16020000,4005000.0,,,,92.43
297,16080000,4020000.0,,,,87.285
298,16140000,4035000.0,,,,88.06
299,16200000,4050000.0,,,,91.525
