iteration,environment_steps,eval_episode_reward,train_episode_reward
0,0,1434.9198809246259,
1,80000,,1211.5311650833237
2,160000,,1206.6564916834436
3,240000,,1244.0647041779278
4,320000,,1244.1952522099832
5,400000,,1251.9746993147326
6,480000,,1187.3322989794983
7,560000,,1154.8723948473976
8,640000,,1156.0095703437132
9,720000,,1158.1274959096352
10,720000,1275.994358664959,
11,800000,,1160.6654701561063
12,880000,,1167.98644817923
13,960000,,1167.148192038973
14,1040000,,1191.3142999272336
15,1120000,,1181.2684210087252
16,1200000,,1224.2125876386142
17,1280000,,1250.5339983479587
18,1360000,,1228.013458006124
19,1440000,,1223.8274470047593
20,1440000,1383.4841069423933,
21,1520000,,1282.4698321378241
22,1600000,,1314.3777288526262
23,1680000,,1316.308576550015
24,1760000,,1303.8132115139804
25,1840000,,1324.0096593975604
26,1920000,,1335.2985801539512
27,2000000,,1349.0092520226563
28,2080000,,1341.7829110991092
29,2160000,,1334.584196217119
30,2160000,1471.12172502559,
31,2240000,,1314.2583667193715
32,2320000,,1343.8250467475505
33,2400000,,1352.805699644613
34,2480000,,1358.4965552344595
35,2560000,,1335.1863480746433
36,2640000,,1383.2572562462778
37,2720000,,1382.3719807375523
38,2800000,,1398.1089947896214
39,2880000,,1400.3726574394116
40,2880000,1524.8522245968963,
41,2960000,,1389.4157116088068
42,3040000,,1437.8832694292553
43,3120000,,1414.319017904868
44,3200000,,1423.8428237201695
45,3280000,,1425.6768812621935
46,3360000,,1460.6890949462759
47,3440000,,1433.3753525517604
48,3520000,,1427.3976527110476
49,3600000,,1452.33921374361
50,3600000,1574.578689053869,
51,3680000,,1472.0655216617424
52,3760000,,1442.3561994102108
53,3840000,,1444.3936841867055
54,3920000,,1449.4730352876602
55,4000000,,1480.4946428504854
56,4080000,,1473.017457570116
57,4160000,,1481.3911277260017
58,4240000,,1509.129303267118
59,4320000,,1501.223606987959
60,4320000,1623.6349741491324,
61,4400000,,1470.877215183439
62,4480000,,1484.3400981326165
63,4560000,,1519.2815239372956
64,4640000,,1485.1786945383105
65,4720000,,1516.8296516988357
66,4800000,,1494.3014315023352
67,4880000,,1474.1077117765253
68,4960000,,1531.3583181655647
69,5040000,,1539.993189316135
70,5040000,1702.0113450747494,
71,5120000,,1559.032354979884
72,5200000,,1535.6999204988006
73,5280000,,1558.726066117196
74,5360000,,1556.3382174184053
75,5440000,,1553.510231530098
76,5520000,,1536.1799475656173
77,5600000,,1584.9028908766816
78,5680000,,1591.5814120312598
79,5760000,,1553.259564891291
80,5760000,1785.8502697191243,
81,5840000,,1577.8868466098997
82,5920000,,1565.1149507412729
83,6000000,,1618.3018400619278
84,6080000,,1616.8927293102522
85,6160000,,1586.0080251675774
86,6240000,,1605.0672053494598
87,6320000,,1638.0287065720916
88,6400000,,1638.4287446672456
89,6480000,,1651.405466143948
90,6480000,1862.2344431385618,
91,6560000,,1640.8430995978301
92,6640000,,1627.312001370618
93,6720000,,1671.679181496241
94,6800000,,1690.5260093143365
95,6880000,,1654.4557281855068
96,6960000,,1695.9115388749995
97,7040000,,1672.8925019256433
98,7120000,,1721.502755293945
99,7200000,,1693.7054203410644
100,7200000,2012.7030154375461,
101,7280000,,1706.6012713203786
102,7360000,,1697.225899047447
103,7440000,,1732.0266919454564
104,7520000,,1751.8577702812122
105,7600000,,1794.2996298401827
106,7680000,,1778.4149821025464
107,7760000,,1716.82016404666
108,7840000,,1846.9849910948603
109,7920000,,1770.265060903684
110,7920000,2143.898219551054,
111,8000000,,1799.5531557698325
112,8080000,,1809.3836921521843
113,8160000,,1808.7044256756667
114,8240000,,1884.6397121979082
115,8320000,,1857.892295662411
116,8400000,,1767.9617332029272
117,8480000,,1836.294578045442
118,8560000,,1903.2938164614577
119,8640000,,1871.0354281140328
120,8640000,2403.663667826235,
121,8720000,,1970.4350734059228
122,8800000,,1930.4277420144142
123,8880000,,1893.1127327445067
124,8960000,,1934.4331441021016
125,9040000,,1992.6471433538638
126,9120000,,1922.7048178416435
127,9200000,,2042.5132143531473
128,9280000,,1981.3595707458658
129,9360000,,2088.260737671565
130,9360000,2581.339899853366,
131,9440000,,1933.64149186258
132,9520000,,1977.1728487858559
133,9600000,,2045.5454957761965
134,9680000,,2154.446151708067
135,9760000,,1996.1922494033004
136,9840000,,2138.7721890600146
137,9920000,,2172.0220205697615
138,10000000,,2164.519600804869
139,10080000,,2079.6837492411587
140,10080000,2641.8424127248754,
141,10160000,,1983.809512255433
142,10240000,,2083.32368729487
143,10320000,,2253.749006596876
144,10400000,,2250.8888073116823
145,10480000,,2216.16276786002
146,10560000,,2247.8919029003605
147,10640000,,2200.055890837501
148,10720000,,2181.3782453619187
149,10800000,,2261.2702665360707
150,10800000,2782.613986940772,
151,10880000,,2346.349437169218
152,10960000,,2236.1733271206017
153,11040000,,2265.4614022486835
154,11120000,,2226.1737865458495
155,11200000,,2230.569555479134
156,11280000,,2424.120543283845
157,11360000,,2271.9045824250843
158,11440000,,2296.4967143986105
159,11520000,,2395.8311404149963
160,11520000,2866.8783915742315,
161,11600000,,2413.8233667624227
162,11680000,,2482.809704910984
163,11760000,,2601.202796861745
164,11840000,,2501.25283815603
165,11920000,,2398.3596922297165
166,12000000,,2432.911906305788
167,12080000,,2570.6154156456496
168,12160000,,2387.825802604217
169,12240000,,2548.7886312160854
170,12240000,2873.0583416116788,
171,12320000,,2468.423844642368
172,12400000,,2507.2154451062947
173,12480000,,2542.5064771870143
174,12560000,,2595.4506496212502
175,12640000,,2450.100433302703
176,12720000,,2591.6481263885826
177,12800000,,2548.8749010581787
178,12880000,,2601.291685247212
179,12960000,,2508.2778324868405
180,12960000,2938.9618423600127,
181,13040000,,2693.9346427599903
182,13120000,,2605.986555014421
183,13200000,,2634.555380247954
184,13280000,,2656.3820762669006
185,13360000,,2595.7585636697377
186,13440000,,2630.3751524634313
